Id,ParentId,OwnerUserId,Tags
"49594373","49594336","21009","<qt><qml><qtquickcontrols2>"
"49594398","49594368","9450991","<python><python-3.x><numpy>"
"49594404","49594360","711206","<php>"
"49594405","49594361","1953590","<java><overloading>"
"49594438","49594421","9147721","<javascript><api><fetch><wikipedia-api>"
"49594454","49594402","8041231","<delphi><virtualtreeview><tvirtualstringtree>"
"49594459","49594415","9363594","<python><python-3.x><list>"
"49594478","49594443","1850609","<javascript><jquery><html><ajax><jsp>"
"49594483","49594364","9112450","<jquery><ajax>"
"49594484","49594435","9363594","<python><loops><sum><range>"
"49594503","49594447","3155639","<javascript>"
"49594506","49594466","1730958","<r><ggplot2><bar-chart>"
"49594507","49594492","7509065","<python><selenium><selenium-webdriver><selenium-chromedriver><chrome-web-driver>"
"49594512","49594388","2763831","<python><python-3.x><pandas><pandas-datareader>"
"49594530","49594424","9209738","<javascript><mongodb><mongoose>"
"49594639","49594351","3448527","<html><css><figure><css-grid>"
"49594785","49594772","106224","<html><semantic-markup>"
"49594804","49594760","107744","<php><datetime>"
"49594814","49594752","8383177","<python><pandas><datetime><dataframe>"
"49594835","49594800","9515207","<javascript><encryption>"
"49594857","49594820","4983450","<r><dplyr><mutate>"
"49594865","49594827","434551","<c++><io><binary><output><binary-data>"
"49594869","49594449","9157331","<sql><postgresql>"
"49594897","49594391","174777","<bash><amazon-web-services><amazon-ec2><startup>"
"49594901","49594784","6361531","<python>"
"49594914","49594365","7328218","<javascript><mongoose><populate><mongoose-populate>"
"49594926","49594470","207421","<java><jdbc><hikaricp>"
"49594945","49594875","7146589","<javascript><css><reactjs><jsx><babeljs>"
"49594947","49594880","2175571","<html><css>"
"49594998","49594895","6220679","<python-3.x><text><pygame><antialiasing><alpha-transparency>"
"49595043","49594485","2035262","<ruby-on-rails><ruby><amazon-s3>"
"49595196","49594464","9312892","<vba><excel>"
"49595260","49594344","7452581","<ionic-framework><ionic3><cordova-plugins>"
"49595267","49595217","1175018","<javascript><audio><prompt>"
"49595268","49595190","125734","<typescript>"
"49595308","49595205","5761558","<apache-spark><cassandra>"
"49595320","49595242","2896626","<c++><loops><for-loop><vector><redeclare>"
"49595325","49594371","5221944","<sql><google-bigquery><legacy-sql>"
"49595328","49594923","6622587","<python><python-2.7><kivy><kivy-language>"
"49595397","49594841","3422102","<bash><shell><unix><sh>"
"49595398","49595237","3625433","<javascript><jquery><ruby-on-rails><ruby>"
"49595399","49595261","5990450","<javascript><reactjs><react-native>"
"49595429","49595299","5987698","<c++><arrays>"
"49595445","49595282","152349","<python><import>"
"49595478","49595288","3060004","<node.js><reactjs><api><redux>"
"49595504","49595297","7452581","<angular><ionic3><ngfor><ion-checkbox>"
"49595570","49595300","5928186","<reactjs><react-native><react-redux><parent-child><ref>"
"49595590","49594811","7669809","<r><dataframe>"
"49595732","49594823","224370","<c#><sql><linq><join>"
"49595752","49594406","1691455","<evernote>"
"49595812","49594889","6136214","<sed>"
"49596110","49595186","3955830","<django>"
"49596249","49595264","2602434","<php><laravel><laravel-5>"
"49596323","49596294","9518890","<javascript><html><child-nodes>"
"49596329","49596305","5203655","<php>"
"49596351","49596303","8285732","<c++>"
"49596415","49596290","4443323","<reactjs><redux><react-redux>"
"49596448","49596328","4443323","<javascript><reactjs>"
"49596454","49596307","2016562","<android><android-gradle-plugin><android-architecture-components><android-architecture-lifecycle>"
"49596467","49596282","4343534","<database><postgresql>"
"49596502","49596347","603316","<go><mutex><deadlock><channel>"
"49596511","49594858","6458334","<python><python-3.x><metaprogramming><pytorch>"
"49596566","49596277","2204410","<r><data.table><sapply><rbindlist>"
"49596646","49596285","5959733","<html><css>"
"49596930","49594812","1222951","<python><user-interface><tkinter>"
"49597321","49595253","7199817","<visual-studio-code>"
"49597418","49597395","115145","<java><android><jar>"
"49597440","49597429","7394472","<javascript><angular><ionic-framework>"
"49597482","49597432","4443323","<javascript><reactjs><redux>"
"49597505","49597462","1947581","<angular><forms><angular-ng-if>"
"49597533","49597448","4323","<c++><boost>"
"49597618","49597421","3884852","<javascript><jquery>"
"49597684","49597457","4086722","<android><android-layout><android-recyclerview><android-nestedscrollview>"
"49597713","49594418","2802040","<html><css><internet-explorer-11>"
"49597729","49597455","5774498","<python><memory>"
"49597766","49597436","54734","<rest><restful-url>"
"49597768","49597486","747965","<generics><asp.net-core><f#><deserialization><json-deserialization>"
"49597779","49597427","270371","<java><oop><design-patterns><abstraction><bridge>"
"49597808","49597392","1739297","<python><google-cloud-platform><google-cloud-dataflow><python-2.x><apache-beam>"
"49597938","49597362","45375","<powershell>"
"49598021","49597428","6492765","<c#><asp.net><sql-server><stored-procedures><group-by>"
"49598493","49598478","9525603","<css><html>"
"49598505","49598436","1483117","<php><curl><slack-api>"
"49598514","49598465","55857","<python><matrix>"
"49598516","49598437","2963652","<html>"
"49598537","49598441","5424594","<python><matplotlib><scikit-learn>"
"49598563","49598513","3625215","<javascript><bootstrap-4><thymeleaf>"
"49598569","49598466","6309","<git><github>"
"49598593","49598523","3625215","<javascript><php><jquery>"
"49598599","49598456","1222951","<python><tkinter>"
"49598713","49597426","3472735","<html><css><flexbox>"
"49598720","49598512","6752050","<c++><qt>"
"49598796","49597410","2236470","<ruby>"
"49598908","49594849","3097821","<amazon-web-services><amazon-elastic-beanstalk>"
"49598920","49597391","1841839","<youtube><youtube-api><youtube-data-api>"
"49598984","49597416","2932476","<javascript><jquery><html>"
"49599162","49599075","9209546","<python><dictionary>"
"49599203","49599183","5928186","<javascript><reactjs>"
"49599215","49599137","4554116","<javascript><dom>"
"49599292","49597373","1014758","<webpack><aurelia>"
"49599305","49599140","9481503","<javascript><php><base64>"
"49599335","49599224","7765139","<java><android><firebase>"
"49599340","49599072","1268696","<list><lisp><common-lisp>"
"49599444","49599087","7979573","<c#><wpf><datatemplate>"
"49599463","49597449","1014758","<jquery><semantic-ui><aurelia>"
"49599746","49599179","6136634","<ruby-on-rails><ruby>"
"49599757","49595195","9127475","<html><css><sass><bootstrap-4>"
"49599764","49599729","5258328","<php>"
